unique_id,sleepdiary_dreamcontent,,
15613S,999,,
1457L,999,,
704S,999,,
1597S,999,,
2344L,999,,
1952S,999,,
3859L,999,,
4269S,999,,
6837S,999,,
5937L,999,,
6600L,999,,
9062S,999,,
10352S,999,,
7616L,999,,
11333S,999,,
8152L,999,,
8886L,999,,
12946S,999,,
13126S,999,,
10236L,999,,
12140L,999,,
14945L,999,,
15521L,999,,
16950L,999,,
17256L,999,,
18434S,999,,
18493S,999,,
17429L,999,,
20053S,999,,
18923L,999,,
20691S,999,,
20919S,999,,
19432L,999,,
19641L,999,,
21857S,999,,
22736S,999,,
21782L,999,,
25418S,999,,
25689S,999,,
25931S,999,,
26183S,999,,
26570S,999,,
27415S,999,,
32LA,999,,
28744S,999,,
23900L,999,,
29839S,999,,
18LB,999,,
893S,999,,
4652S,999,,
5133S,999,,
5491S,999,,
7124S,999,,
7803S,999,,
10515S,999,,
7851L,999,,
13552L,999,,
22223S,999,,
22403L,999,,
26413S,999,,
26750S,999,,
22918L,999,,
28881S,999,,
23677L,999,,
29399S,999,,
29659S,999,,
23919L,999,,
29874S,999,,
24183L,999,,
30104S,999,,
258LB,999,,
19146S,999,,
19511S,999,,
24723S,999,,
22211S,999,,
22439S,999,,
20928L,999,,
14545S,999,,
23097S,999,,
15197S,999,,
18530S,999,,
14832S,999,,
12304L,999,,
15048L,999,,
16426S,999,,
11712L,999,,
14389L,999,,
19926S,999,,
27770S,999,,
14825L,999,,
19641S,999,,
18424L,999,,
22088L,999,,
11674L,999,,
952S,999,,
2493S,999,,
3722L,999,,
2147L,999,,
8686L,999,,
20450L,999,,
1715L,999,,
4885S,999,,
6506S,999,,
20782S,999,,
7773L,999,,
28464S,999,,
9229S,999,,
30034S,999,,
5189S,999,,
24317S,999,,
14696L,999,,
19416S,999,,
4568S,999,,
23370L,999,,
5938S,999,,
22588S,999,,
21496S,999,,
19265S,999,,
283S,999,,
19010L,999,,
2727S,999,,
14647S,999,,
8902S,999,,
18073L,999,,
17847L,999,,
17484L,999,,
1975L,999,,
15841L,999,,
24980S,999,,
21443S,999,,
23449S,999,,
20129L,999,,
14723S,999,,
4204S,999,,
3651S,999,,
9470S,999,,
9604S,999,,
7351S,999,,
10546L,999,,
7447S,999,,
2962S,999,,
7536S,999,,
28313S,999,,
16830L,999,,
235S,999,,
403S,999,,
1031L,999,,
332S,999,,
4347S,999,,
3164L,999,,
435S,999,,
6471L,999,,
11192L,999,,
17393S,999,,
2025S,999,,
3856S,999,,
15010S,999,,
12939L,999,,
28008S,999,,
28L,999,,
740L,999,,
22297L,999,,
5357L,999,,
24800S,999,,
2107S,999,,
903S,999,,
604L,999,,
1141L,999,,
8850S,999,,
12760S,999,,
812L,999,,
1195L,999,,
1641L,999,,
2065L,999,,
1349S,999,,
2511L,999,,
2043S,999,,
3677L,999,,
3984S,999,,
4347L,999,,
5391S,999,,
5908S,999,,
6424S,999,,
6973S,999,,
5995L,999,,
8166S,999,,
6743L,999,,
8685S,999,,
7266L,999,,
10065S,999,,
10993S,999,,
11496S,999,,
8377L,999,,
12635S,999,,
9000L,999,,
13330S,999,,
13594S,999,,
9673L,999,,
14181S,999,,
10204L,999,,
15555S,999,,
15757S,999,,
10734L,999,,
16353S,999,,
17078S,999,,
11296L,999,,
11819L,999,,
12996L,999,,
13423L,999,,
13962L,999,,
14358L,999,,
14748L,999,,
15531L,999,,
15532L,999,,
16336L,999,,
17458S,999,,
17660S,999,,
17106L,999,,
18754S,999,,
17523L,999,,
19318S,999,,
19960S,999,,
21729L,999,,
25557S,999,,
23983L,999,,
262LB,999,,
10843S,999,,
12444S,999,,
8101L,999,,
5286S,999,,
14524L,999,,
2986L,999,,
6918S,999,,
6580L,999,,
11855L,999,,
8376L,999,,
3214L,999,,
12207L,999,,
14032L,999,,
15791L,999,,
17607S,999,,
18213S,999,,
19148S,999,,
18074L,999,,
18325L,999,,
19094L,999,,
19613L,999,,
21466S,999,,
20082L,999,,
22065S,999,,
22843S,999,,
23353S,999,,
24413S,999,,
24701S,999,,
22131L,999,,
25911S,999,,
22427L,999,,
22705L,999,,
27721S,999,,
25LA,999,,
28014S,999,,
28234S,999,,
29443S,999,,
29984S,999,,
7051S,999,,
17627L,999,,
18930S,999,,
26345S,999,,
21072S,999,,
26995S,999,,
22883L,999,,
26347S,999,,
10802S,999,,
11882S,999,,
11472S,999,,
15421S,999,,
4650L,999,,
6935S,999,,
7422S,999,,
10717S,999,,
14834L,999,,
21227L,999,,
24178S,999,,
21993L,999,,
22219L,999,,
27613S,999,,
27866S,999,,
29274S,999,,
10009L,999,,
22110S,999,,
29030S,999,,
13138S,999,,
20202L,999,,
29035S,999,,
16538L,999,,
23576L,999,,
20016S,999,,
29832S,999,,
18661S,999,,
3146S,999,,
7388S,999,,
1702S,999,,
8172S,999,,
7380L,999,,
2124S,999,,
8494S,999,,
998L,999,,
1879S,999,,
4577L,999,,
13489L,999,,
8376S,999,,
19239S,999,,
24915S,999,,
26148S,999,,
27339S,999,,
23839S,999,,
22249L,999,,
10107L,999,,
28210S,999,,
24010L,999,,
13506S,999,,
23206S,999,,
26051S,999,,
24120L,999,,
25063S,999,,
5820L,999,,
1868L,999,,
18829S,999,,
4383L,999,,
8129S,999,,
14025S,999,,
17991S,999,,
3456S,999,,
201L,999,,
5362S,999,,
20069L,999,,
18280S,999,,
29232S,999,,
15951L,999,,
12159S,999,,
7271L,999,,
6785S,999,,
7944S,999,,
6498L,999,,
9790S,999,,
7677L,999,,
11375S,999,,
8180L,999,,
11998S,999,,
12491S,999,,
8882L,999,,
12982S,999,,
13528S,999,,
9506L,999,,
13974S,999,,
15154S,999,,
15674S,999,,
10553L,999,,
16239S,999,,
16793S,999,,
11136L,999,,
11723L,999,,
12949L,999,,
13381L,999,,
13554L,999,,
14050L,999,,
14989L,999,,
15355L,999,,
15706L,999,,
16548L,999,,
17365S,999,,
17603S,999,,
16838L,999,,
18231S,999,,
18521S,999,,
17458L,999,,
18837S,999,,
19120S,999,,
19443S,999,,
17731L,999,,
18064L,999,,
19226L,999,,
21178S,999,,
19541L,999,,
21455S,999,,
21783S,999,,
19802L,999,,
20219L,999,,
22069S,999,,
20469L,999,,
22434S,999,,
22814S,999,,
23062S,999,,
23372S,999,,
23959S,999,,
24090S,999,,
15306L,999,,
15026S,999,,
1591S,999,,
5641S,999,,
11579L,999,,
19046S,999,,
27928S,999,,
21286L,999,,
9704L,999,,
22939L,999,,
14710S,999,,
17475L,999,,
22035S,999,,
506L,999,,
1S,999,,
203S,999,,
17770S,999,,
2220S,999,,
26077S,999,,
27067S,999,,
11561S,999,,
4709S,999,,
13876S,999,,
7228L,999,,
19829S,999,,
16879L,999,,
423S,999,,
359S,999,,
7183L,999,,
3929S,999,,
5554S,999,,
18310L,999,,
10690S,999,,
11711L,999,,
23217S,999,,
405L,999,,
10263S,999,,
9479L,999,,
13987S,999,,
14341S,999,,
10775L,999,,
23056S,999,,
8810S,999,,
20749S,999,,
21354L,999,,
21592L,999,,
27989S,999,,
28786S,999,,
23571L,999,,
29679S,999,,
48LB,999,,
7894L,999,,
11113S,999,,
13820S,999,,
10838L,999,,
16430S,999,,
15559L,999,,
17903L,999,,
19171S,999,,
6608S,999,,
23232S,999,,
160S,999,,
13349L,999,,
14193L,999,,
14836L,999,,
3640L,999,,
7698S,999,,
6635L,999,,
9961S,999,,
11540S,999,,
14307L,999,,
20616S,999,,
19616L,999,,
23004S,999,,
23479S,999,,
1685S,999,,
2760S,999,,
5337S,999,,
18714L,999,,
22204L,999,,
2920S,999,,
3501L,999,,
4224S,999,,
5662S,999,,
7165S,999,,
9396L,999,,
15541L,999,,
18859S,999,,
5463S,999,,
13959S,999,,
3764L,999,,
14960S,999,,
18707S,999,,
28667S,999,,
10560L,999,,
19957L,999,,
10507S,999,,
14485S,999,,
11612L,999,,
2402L,999,,
26609S,999,,
20830L,999,,
4004S,999,,
5742L,999,,
6495S,999,,
5506S,999,,
7640L,999,,
20715S,999,,
2630L,999,,
3695L,999,,
24867S,999,,
14084S,999,,
15545L,999,,
17015L,999,,
20970L,999,,
25287S,999,,
14927L,999,,
15934L,999,,
12546S,999,,
15228S,999,,
13602L,999,,
23563S,999,,
261L,999,,
584L,999,,
27399S,999,,
8690L,999,,
855L,999,,
9532S,999,,
13212S,999,,
22307L,999,,
3L,999,,
10620S,999,,
13380S,999,,
13880S,999,,
16506S,999,,
14820L,999,,
116L,999,,
657L,999,,
1453L,999,,
715S,999,,
1049S,999,,
2346L,999,,
2257S,999,,
3807S,999,,
18239S,999,,
18957L,999,,
332L,999,,
13462L,999,,
22187S,999,,
5807S,999,,
191L,999,,
519L,999,,
651S,999,,
1119S,999,,
15801S,999,,
5354S,999,,
5094L,999,,
9926S,999,,
11067S,999,,
9575L,999,,
11341L,999,,
13919L,999,,
17599L,999,,
18944S,999,,
19056L,999,,
19885L,999,,
24262S,999,,
25090S,999,,
22615S,999,,
223L,999,,
356S,999,,
537S,999,,
22568L,999,,
23500L,999,,
273L,999,,
7306S,999,,
16029S,999,,
8474L,999,,
8120L,999,,
6520S,999,,
2549S,999,,
16715L,999,,
22905S,999,,
444S,999,,
15466S,999,,
11798L,999,,
1335L,999,,
1381L,999,,
1244S,999,,
3341S,999,,
22367L,999,,
17691S,999,,
19187S,999,,
16850L,999,,
4438L,999,,
12407S,999,,
13488S,999,,
9288S,999,,
2743L,999,,
12598S,999,,
3237L,999,,
5323L,999,,
9044S,999,,
13823S,999,,
21723L,999,,
92LA,999,,
7827L,999,,
9049S,999,,
9670S,999,,
13089L,999,,
14027L,999,,
4635L,999,,
10226L,999,,
26042S,999,,
28548S,999,,
7819S,999,,
14105S,999,,
4903L,999,,
9232L,999,,
17438S,999,,
23878L,999,,
13088S,999,,
13670L,999,,
28495S,999,,
20716L,999,,
29639S,999,,
28823S,999,,
19819S,999,,
21306S,999,,
2463S,999,,
9719L,999,,
8402L,999,,
16062S,999,,
236LB,999,,
1127L,999,,
13199S,999,,
15268L,999,,
411S,999,,
7462S,999,,
7336L,999,,
26247S,999,,
15918L,999,,
1802L,999,,
5859L,999,,
5901L,999,,
6942L,999,,
17857S,999,,
12856L,999,,
15572S,999,,
10074S,999,,
22829S,999,,
19905S,999,,
8381S,999,,
2141S,999,,
6894S,999,,
9438L,999,,
24649S,999,,
3543L,999,,
5236L,999,,
28075S,999,,
18955L,999,,
28756S,999,,
24176L,999,,
16252L,999,,
173L,999,,
8607L,999,,
5249S,999,,
22684S,999,,
15357S,999,,
459S,999,,
1409L,999,,
17861L,999,,
565L,999,,
10678S,999,,
13816L,999,,
5927L,999,,
2292L,999,,
983S,999,,
12604S,999,,
12283L,999,,
10928S,999,,
19844L,999,,
13948S,999,,
6413L,999,,
21324L,999,,
26883S,999,,
17094S,999,,
7691S,999,,
28798S,999,,
20659L,999,,
474L,999,,
20313L,999,,
20972L,999,,
27327S,999,,
23718L,999,,
17366L,999,,
7795S,999,,
10504S,999,,
272LB,999,,
3769L,999,,
23150S,999,,
6936L,999,,
21342L,999,,
20683L,999,,
14114S,999,,
18904S,999,,
3969S,999,,
21731S,999,,
1137S,999,,
25816S,999,,
26965S,999,,
23864S,999,,
25123S,999,,
479S,999,,
1068S,999,,
1589S,999,,
1561L,999,,
4883S,999,,
16144S,999,,
5793L,999,,
20214L,999,,
236L,999,,
2976L,999,,
3256L,999,,
3309S,999,,
3888S,999,,
4143L,999,,
4240S,999,,
21575S,999,,
5844S,999,,
4872S,999,,
5413L,999,,
6309S,999,,
5855L,999,,
7463S,999,,
6729L,999,,
8771S,999,,
9112S,999,,
7074L,999,,
9653S,999,,
10405S,999,,
11509S,999,,
8290L,999,,
11890S,999,,
12409S,999,,
9646L,999,,
14892S,999,,
15283S,999,,
10714L,999,,
16282S,999,,
16722S,999,,
11045L,999,,
3635L,999,,
9962L,999,,
3277L,999,,
22985L,999,,
24749S," - attending a party, looking for items before leaving like phone  - looking for lices in hair, finding two    ",,
2973S," - developing a plan for a new house for my brother together with him and looking at the place for it  - playing with a cat  - travelling on motor boat and coming to a big city, which is absolutely covered with flowers",,
3278S," - driving a car in my native city  - talking to my ex boyfriend about the virus effect  - meeting my frinds, who live abroad, in my native city and talking to them about girls staff  - landing money to ony of my felows  - talking to my husband about plan for a trip at home",,
19877S, - Ex-boyfriend helping me with something  - constantly being at the doctors,,
656S," - goinig with my friends somewhere together and joining a big parade of people going somewhere in my native city. in this crowd meeting my friend from Germany, who is pregnant and leaving her in one of the offices on our way (doors of offices oped right along the street)  - brining some bone-mechanical device to the competition and talking to people about it. Shaking hands to other participant, who came at the same time;  - talking to my old teacher about her age. But she looks much younger. She is havine her dinner.  - having photo session with a group of young people at some kind of award event",,
15637L," - I hosted a child of my friend and he didn't want to go to bed. In result, we played games for a long time.  - I went to visit my friend and it was a nice place. I was sliding on the railings there and talking to a lot of different people  - There was a river and a nice warm day. I saw a women with 16 dogs sweening in the river and decided to go into the water too.  - I was taking blood test on my own",,
13520L, - I met my friend and we were talking about the situation in my home city  - I wa eating something sweet and tasty,,
24344S," - I met one one my former boyfriends and we were talking with him about the body  - I went to my old job and was talking to people there. Unfortunately, my boss was on her vacation",,
22384S, - I visited my parents country house and had a nice chat with them;  - I was protecting one of my PhD students from another person physically atacing her,,
25571S, - I was at  one of my last working places planning the events for children  - I was walking in the forest,,
18203S, - I was at the big meeting with a lot of people  - I was travelling somewhere by train,,
22029S, - I was at work meeting people and talking about the duties.  - I had an adventure with my friends,,
3737S," - I was at work talking to my colleagues and cleaning the rooms  - I walked around the city with my friends and discovered fantastic palace in the midle of the city center, which I've never seen before",,
21723S, - I was buying a new house  - I was meeting my friends,,
3594L, - I was cooking a big dinner with my family for us and our friends  - I was walking in a forest,,
17134L, - I was cooking some new dish  - I was meeting my colleagues from current job at my home city in the informal situation  ,,
3218L, - I was driving a car a lot  - visiting my friends and talking to them  - had some scary goings in coridors,,
