"","sub_id","dream","dream_report","wc","dream_happy","dream_proud","dream_amused","dream_aroused","dream_confident","dream_relaxed","dream_content","dream_comforted","dream_fearful","dream_angry","dream_nervous","dream_disgust","dream_embarrassed","dream_sad","dream_guilt","dream_bored","liwc_posemo","liwc_negemo"
"1",1,1,"I was fighting with my boyfriend and went home for christmas break to see him and all my friends",19,3,1,1,1,1,3,3,3,1,1,2,1,1,1,1,1,0,5.26
"2",2,2,"I was with some people I do not know celebrating. There was a balcony over the side of a cliff that was very dangerous. People were doing stunts on the balcony (walking on their hands on the railing, etc) while everyone watched and cheered. Then someone fell, but it turns out there was a grassy hill not far down below that they safely landed on and seemingly planned to do so. Everyone cheered, and then everyone jumped down onto the hill to play these weird extreme sports, like tossing objects into the air and someone else shooting them down with a bow and arrow. There was a row of minifridges with drinks in them, one of them was mine. My parents showed up at the end to get me and my dad was having trouble moving my minifridge. That's all I remember.",142,3,2,4,3,2,3,4,4,3,1,4,1,1,1,1,1,1.41,2.11
"3",2,3,"tipping a boat and almost drowing",6,2,2,2,1,1,1,1,1,3,1,3,1,2,1,2,1,0,0
"4",3,4,"Something regarding camping with mg parents and friends",8,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"5",5,5,"I ran into a guy who i was rejected by and said hurtful things about my appearance with my friends at some place and he tried grabbing me twice to apologize but then i slapped and pushed him hard he fell into some buckets or something and then started chasing me so i ran and tried to hide in a bookstore and a friend followed me shortly after then i woke up",72,1,2,2,2,3,1,1,1,4,1,3,1,2,1,3,1,0,2.78
"6",6,6,"I was metal smithing tinkerbell",5,3,4,3,1,2,3,4,2,1,1,1,1,1,1,1,1,0,0
"7",7,7,"I think that this dream occurred in the past, like shortly after the time planes were invented, but I was like somehow aware it was not safe. I was forced to get on this sketchy plane to go somewhere, but I was the only one who was freaking out since I knew it was dangerous. We started going up in the air and the plane started shaking.",67,1,1,1,1,1,1,1,1,3,2,4,2,1,1,2,1,1.49,4.48
"8",7,8,"I was with my favorite celebrity and he was my boyfriend. I was also famous as well, and it was very exciting for me",24,3,3,3,3,3,3,2,3,1,1,2,1,1,1,1,1,12.5,0
"9",8,9,"I was doing this obstacle course with a bunch of other people. We kept having to do it over and over again. I kept slowing down since I was tired but no one else was",35,1,1,1,1,1,1,2,1,2,3,1,1,3,1,2,1,0,0
"10",9,11,"I got a D from a class I took this semester. :(",12,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,0,8.33
"11",9,10,"It's recurring i remember having it a few times before but slightly different each time. It's my friends house in real life but in the dream it was very strange and is called the ""green room"" (even though its a house idk). From what I remember last night my friends were there with me and they kept getting killed by something, there was a woman in a white dress and distorted face, and then eventually before leaving the house my dad was in a chair and said ""hey"" but when he swiveled around he had no legs.",97,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,3,0,2.06
"12",10,13,"I flew in to Maine for some reason with many friends and family. Went to a seafood restaurant and was not wearing shoes. After, the restaurant was connected to a bar and large conference room where all of my friends were. I saw a very old friend",47,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"13",10,12,"Laying alone in the middle of nowhere unable to move.",10,1,1,1,1,1,1,1,1,4,3,4,4,2,3,2,1,0,10
"14",11,14,"Me cheating on my boyfriend and us having to break up.",11,1,1,1,1,1,1,1,1,2,3,4,4,4,4,3,1,0,9.09
"15",12,15,"i was forced to participate in something similiar to hunger games where i was assigned a person where they tried to kill me and i tried to kill them and i ended up stabbing and killing them. and then my sister turned into a witch somehow and killed my parents because she knew they wouldnt approve of her being a witc.",61,1,1,2,1,2,1,1,1,3,2,3,1,3,2,4,1,1.64,8.2
"16",13,16,"I was hanging out at my house and the cops knocked on the door and said they had a search warrant. They body searched all of us and the cops that was searching me touched me very inappropriately. And then another dream was that I was running from this man that was trying to kidnap me. I was running around this whole big city trying to get away from him and eventually he found me in a mall bathroom and we were fighting and then I got ahold of his phone and called 911. I ran out of the bathroom and the cops showed up but he got away.",109,1,1,1,1,1,1,1,1,2,3,2,4,1,1,1,1,0,0.92
"17",14,17,"My boyfriend was on a roof dancing at 3:30 am and my cosin snapchatted it to me and i was angrey i want invited but then my mom came in to make sure we weresleeping",36,1,1,1,1,1,2,1,1,2,3,2,1,1,3,1,1,2.78,0
"18",15,18,"I was in an Airbnb with my family and friends but I donâ€™t remember for what reason and a women was yelling at me",25,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,0,4
"19",15,19,"I was trapped somewhere with James Charles and he had a sparkly shirt on and my shirt was supposed to turn sparkly but it didn't so he transferred the sparkly shirt over to me",34,1,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0
"20",17,20,"Was at a live show of Wildn Out",8,4,3,3,3,2,3,3,3,1,1,1,1,2,1,1,1,0,0
"21",19,21,"I was with my old bestfriend who i dont talk to anynore",12,2,1,1,1,1,1,1,2,1,2,3,2,1,3,1,1,0,0
