text,nightmare
"I was in uniform for the Army and I remember helping two other females around my age into a helicopter (doors off). I have flown in them several times, but for some reason this one I was stressed. The crew asked me to do one thing for the helicopter and I nodded, but did not which way it should go. I moved it and ""hoped for the best"", which is interesting because I always ask questions, and then we went up in the air. I remember we were stressed about a time crunch, and that I felt I was protecting and leading the two females I brought. There were two pilot and a crew chief, all males and all fairly older. I remember alarms going off and worrying, but then felt a sudden wave of peace. I knew we would be okay, helicopters are meant to roll. I was talking to the girls making sure they were strapped in while staying in my seat. Then the helicopter hit the ground, but it did not roll. That's when I got nervous. We were sliding on the left side, the side I was sitting on. I remembering suddenly the peace went away and this is not what helicopters are meant for. It was so real it was as if I could reach out my hand and touch the ground that was rapidly moving beneath us. We finally stopped and before I helped the girls out, I noticed one was bleeding from underneath her helmet and the other was slightly bleeding on her arm. I tried to speak to the pilots but they were both passed out. I took the girls up the side and we got out. I remember feeling dizzy as if it was hard to walk. I began checking out one of the girls head injury and then someone touched my shoulder and it was one of the pilots, who looked horrible. He said ""you have somewhere to be"" and I thought he was crazy, I wasn't going anywhere. Then he told me to hurry and suddenly I was in one of my best friends wedding as a bridesmaid (that wedding has already happened and I was a bridesmaid). We were all in the same blue dresses as in real life and had flowers in our hands. We were in a line, waiting to walk down the aisle of a white small barn looking building. I remember everything felt extremely bright. I thought did no one see the helicopter crash outside? How did I get here? How did I get into a dress? Then one of the bridesmaids began picking at my hair and saying it was not right, and saying I should have fixed my curls. Then I began to panic again. I was not prepared for the wedding what was I thinking. Then I went to walk down the aisle and saw a bunch of bright lights and then passed out. Some were worried but the bridesmaids were quietly yelling at me that I was ruining the wedding. I sat there wondering why no one was concered there was a helicopter crash. I wandered if the crew was alright. Then I went to stand up and saw stars, and I felt myself passing out. Then I woke up. Sweating.",1
I honestly dont really have dreams that I can remember. The most that I can remember is if I see a face I recognize and that is typically someone I interacted with earlier on in that day. The locations of my dreams are also typically places I have been recently. Any other specifics I rarely remember though. My two most recent dreams were in my friends house and all I can remember are their faces and the location. And the other was in Rusty Taco and we were sitting in the corner booth. Thats really all I can remember from them though.,0
The setting was all white except for an old-styled diner booth. the booth was scalloped and sparkly teal with a grey metallic table. I was sitting on one side of the booth from an actor's perspective and my grandpa whom I never met before he died was in the other side. the view never changed in my dream. overall it was him asking me about recent events and how college was going. I was happy to see him and I was upset when I woke up,0
"I was the actor, I was in my home after a basketball game that was about an hour away. I was home alone and got a call from an unknown number. When I answered, I was greeted by a Sheriff who informed me that there had been a car accident with 4 people. Two of them had passed away and two were in a critical state and were being held in the ICU. When I asked who they were, he told me that there were two adults and two teenage boys. My family. I dropped to the floor in a panic and started to cry and felt an immense amount of emotional pain. I remember feeling like I was sinking into the floor and everything was dizzy and cloudy. I then drove to the hospital that was 20 minutes away and saw the bodies of my parents and then walked to the ICU and saw my two brothers mutilated and hooked up to wires keeping them alive. I sat distraught in the room that held them both as the nurses and doctors told me about their issues and what I should expect. Everything was a mumbled mess and I was not able to coherently hear what they were saying. They told me that I should sign a release form that would unplug the equipment, ending their lives. I began to scream and curse at them, and it escalated to a physical fight between myself and the nurses trying to calm me down. I was then handcuffed to a chair and sedated. When I woke up, I decided I needed to call someone to help me with the decisions. I called my grandma who lived 5 hours away, and she told me that she was on the way. I then called my brother's girlfriend's mom, who was a close friend of my parents. 

While lucid in the dream, I came up with different scenarios, one of the others being that my older brother was not involved in the accident, and I had to call him and tell him the news. I then had to plan the funeral, sell the house, and pack up all of my family members' belongings, as I was the only one able to. I woke up in a sweat with a pounding heart. 

",1
"I was at a house party, but the house was like a mansion. My two roommates were there with me and so were my 3 other friends from my hometown. The lighting was a deep shade of red, and there were no over head fluorescent lights at all. There were tons of people there that I had never seen before and the whole time I was trying to find a certain boy. I was very happy and was really enjoying the night. I don't remember speaking at all in this dream but I do remember that there was a basement people were going to using an escalator. This dream was from my own point of view. It seemed as if the only people who really noticed my presence at this party were my own friends. No one was actually doing a particular activity, everyone was just standing around talking to friends and listening to the loud music. At the end of the night I ended up falling asleep on an arm chair after I had found the boy I was looking for. I woke up again on the arm chair and my friends and I talked about what had happened the night before.",0
In the beginning of the dream I was standing on a hill next to a water lagoon. There were several people laying around the lagoon as if they were on vacation. The lagoon looked bare with only dirt to sit on. A large dinosaur cam up from the lagoon and picked up a woman by the waste. The woman looked scared and was trying to get away from the grasp. The dinosaur had a very long fingernail or single claw and it pushed the claw into the front hairline as if to open up a canned soda and peeling back her scalp. That is when I awoke from my dream.,0
"I was going in to take an exam for school and felt disorientated as I was walking through the halls. The hall in question was a mix of glass windows and painted on green cinder block, but not in a way where they were side by side, but more so that they were partially glass while also partially cinderblock (the best way to describe it is a drink that's clear but also opaque at the same time). If there was any other people there, I don't recall I was focused on taking an exam. From there I would wander for a bit until I got to the hall and began taking the exam. No other people were around me from what I can tell, but the exam was difficult that it prompted me to turn in my sleep(this was observed when I woke up as I was turned 90 degrees from my original sleeping position). However, the contents of the exam from what I could recall were stuff that I had done before in a prior class, but emotionally speaking I felt like it was the hardest thing in the world that I couldn't do and just sat there increasingly frustrated at myself that I wasn't able to do it. Eventually some time passed and I finished the exam but I somehow knew that I had failed it miserably.",0
The most recent dream I had was me being at a high school party this girl I knew from high school was there and we were not friends. She brought up a past situation from the same party a year before. There was a fight between me and one of her friends but I won. Then a new fight broke out with a different girl this year and I almost lost. It made me sad and upset because I felt weak despite going to the gym.,0
"I was sitting on the floor in my room with the lead singer from my favorite band, Nicotine Dolls, and we were talking, but I don't remember what it was about, and I remember wanting to hold his hand really bad. I struggle with physical touch in the real world, so holding hands is a big deal for me. I finally grab his hand and just start messing with his hand while we continue talking. He was shocked at first but then carried on the conversation. I remember that his hand was cold but not freezing, more clammy. I also remember the texture of his hands, feeling the indent of the lines on his hands. I felt calmer after doing it although it felt like my heart was beating really hard from how nervous I was.",0
"I had the dream of me going back to my home country and not coming back to US again for ever. My parents and siblings were all stopping me to go back to the University and were assuring me that I'll be happy there. I was so on the fence if I should stay back or not ,however I came back to US at the end of the dream .I don't  think that my perception really changed because of the dream. At some point, in the dream I felt overwhelmed by my close ones stopping me back, but since I knew that I've to eventually return , I stayed firm on my decision and ended up being practical than emotional.",0
