unique_id,dreams
18L,I had a dream where I was with my siblings and we were asking my parents about our inheritance for the purpose of renting apartments (?)
129L,"I had a dream that one of my friends had a baby, but she hadn't been with anyone so it wasn't supposed to be possible that she had a baby. We (me and some of my friends from high school) went to a mall and met her there and she was sitting with the baby and didn't want to walk around at all. So I left and went to a bath and body works store and someone offered to scrub my feet for free. I ran into some of my friends from abroad there"
274L,I had a dream that I had to go receive my sister's packages from her apartment building and there were a lot of them
457L,"I had one dream where my study abroad program was having ""graduation"" back in Stockholm. So all of my friends from abroad and I were traveling back to Stockholm together with our parents and we went to one of my favorite bars with my parents and brother. Then we missed our plane home.     I had another dream that someone I was dating and didn't get much closure with came to the US so we could have a conversation and it was productive and nice"
701L,"I don't really remember what we were doing in the dream, but I know my parents were mixed in with my friends and they were in all white. It was some sort of party"
142L,"I was on a bus trip to Berlin from an unknown origin. There was a mix of friends from BC and people from my study abroad program present. One of my BC roommates sat with a girl who I assumed was his girlfriend. At some point we got off the bus in Prague and I forgot my backpack on board. All I had was my laptop. I ended up in a school building for Education First trying to figure out what to do. A group of people from my study abroad program were there and I was texting my friends to figure out what to do. A different BC roommate joined me and we determined that everything was fine. I got a paper with the German flag on it which was important for some reason. We may have made it back to the bus or not, I can't recall."
12021L,"My memory of the dream is very vague. I think one of my roommates and I were in our kitchen and they were pointing out a kitchen utensil or something either that had been damaged, was missing, or that they wanted to say they were bringing with them when they move this week. Emotion was a low level of brief anxiety/concern, I think"
141L,"Work, patients I work with"
408L,I had a dream about my summer job.
13967L,"Had a long vivid dream about being asked to join a group I watch on YouTube (dude perfect), but then the group broke up because one went to be his own Internet personality."
12136L,"I had several a very stressful dreams. Today is my first day back at work after a week of vacation. I had many dreams about ruining my job, getting fired, getting locked in a bathroom, and getting covid at the office. It was awful. At the end of my sleep, I had a dream that I was staffing a trip to the moon where we watched the sunrise. It wasn't hard to get to the moon. Then, a few years later, I ran into one of the students I was chaperoning and he was a billionaire. So we went to his house and it was magnificent. And had really hot sex in the library and then moved into the scotch room."
15910L,I had a stressful dream where my husband drove through someone's garage and drove away. We got into a big fight and his mom was there and she gets very anxious when we fight. Then we broke into the people's house to fix the garage and it wasn't a big deal but my husband was a huge jerk and I was mad at him when I woke up
425L,"Crazy stuff, lots of activity, movement and searching"
133L,"I was working with my pub trivia team to coordinate protocols for COVID across different state and countries.    Different dream: I was doing a zoom conference exercise class and was pleasantly surprised to see how long and effortlessly I could hold a plank.     (Narrator: in real life, her plank is neither strong, nor effortless.)"
413L,I was at a college first year orientation-- unsure if I was there for me or for my daughter who is now in 4th grade.  I was not happy with the organization or the orientation leader who picked facial / spa treatments as a theme to link the group.
400L,I had a dream I had a fever but I don't remember the context around it. My mother was in it too
178L,I was flying running from a horrific black cloud of screeching sound.
12302L,I was trapped in a room with all of my exes
12910L,I was trapped in a time warp
13434L,horrific night terrors
13693L,I was drowning with all of my friends from my high school swim team
14177L,my friends were dying
683L,I can't remember. I just remember waking up and feeling alarmed by my dream.
435L,"About making a report for work, about being a mentor for kids in my old elementary school"
431L,Things are always just normal. Like a regular day out or a regular day at work.
259L,"Work dream, not much detail"
467L,Went to a class reunion with a friend. Same old high school cliques.
14184L,Moving up to Boston and being welcomed by Charlene and introduced to her friends. Then meeting Billy Jean and Doreen's friends at a party at their house.
16516L,"back at old workplace, only a few people still in the building, people I did not like."
18049L,"I went to the Museum of Fine Arts in Boston and was terrified at how many people were not wearing masks at the museum, on the bus, and on the streets."
1008L,"I dreamt that I was carrying food around with me, and I kept spilling it.  I felt guilty and embarrassed about what a mess I was making, and I thought people were judging me.  I felt a lot of shame."
16044L,"I dreamt that my immediate family were going to my aunt's house for Thanksgiving, and we needed to leave during the meal to go out and get a special loaf of bread from a Turkish bakery."
21888L,"I was leading a mission trip of teenagers like I used to for a previous job. We were supposed to meet at a specified location at 8:30pm to get a ride back to our base, but we got lost and distracted and didn't arrive until 3am. We had to find alternative ways to get back."
686L,"I was in a painting class. I couldn't paint a straight line because the brush bristles kept splaying out. My friend told me my teacher, who was her daughter, was getting cross with me. Another woman used her similar brush to paint huge dabs on her picture, and she was praised.   (Background: In real life I have been taking an art class, which is currently postponed. My friend's daughter, who is an author (not an artist) who lives in Manhattan, had called her mother to say her husband probably has the COVID19 virus.)"
13955L,"I don't remember details, but it was Positive dream about being in the woods with friends"
15991L,dreams w walking  w old friends And having fun
684L,"Had several dreams that I remember bits and pieces of    One I was on a road trip with some people and we ran into my grandma who lives in Europe as she was cleaning a bathroom, I asked her to come with us and she said she would meet us wherever we are going.     Another dream I was in a diner with my dad and two sisters, then a group of college aged guys come in that my sister is friends with and we celebrated one of their birthdays as the news found out a local high school girl had died in a car crash."
444L,I had a dream that I was walking around a college campus holding my friends hand and everyone was asking if we were dating and we kept saying no. I had another dream that I was meeting my friend somewhere and I kept having to cross these busy streets to see her.
677L,I was walking somewhere and it had just rained so my shoes were getting very muddy and my jeans ripped.  I also had a dream that I was at school and I was walking my students out for dismissal and one student had to go to the bathroom but didn't know the code to the bathroom so I had to to run and get the code for the them before the buses left.
926L,I know that I dreamed but I don't remember what about. Something about doughnuts.
12161L,I know that I had a dream and I was in a group of people but that's all I remember.
12647L,I was a part of a contest where I had to kiss a guy in his car.
13121L,I was at Church for the first time and everyone was sitting far away from each other.
13648L,I was waiting for something to happen and I was questioning why it wasn't happening yet. I don't know what I was waiting for though.
15037L,I had a dream that I was pregnant and my water broke but the contractions never came and so I was just asking people when they would start.
15403L,I was at my grandma's house and she was talking about a book she read and I made a spreadsheet for my students to answer questions on.
12481L,Dreamt my mom's stuffed animal wanted to have a play date with my brothers stuffed animal lion from 50 years ago. It was jealous of my two dogs having each other.
14438L,dreamt I was on a trip abroad and the bus opened up the hatch for luggage and it all fell out and took off and I was running after the bus for my things
15149L,At different nursing home for mother and very strange dreams and sneaking in to help her her staff not helping
15349L,Strange dreams about my childhood that someone old boyfriend didn't see for 50 years had my childhood movies I never knew about and I saw the images in my dreams
15911L,Very vivid dreams on a trip maybe NY not sure looking for a restaurant and at a pier at night seeing whales and waiting for going out with a conference group and looking at a menu talking to people walking around
16142L,Visited the end of a road leading to a  Lake
18251L,Dreamt about man I met in Croatoa
18157L,I was at a beach in Spain.
20093L,I was with a group of friends
