id,text
2,"I had a dream a few nights ago. I was walking around campus with this one guy I like, just chilling, holding hands (I could feel that). We walked past murphy, then over to ISB to hang out with some of my friends. I remember at one point I got ahead of him and just stood there, arm stretched out back to him to get him to rush forward and catch up. Once we were with friends we just sat and hung out, we were also dating in the dream. Lowk it was a fun dream. Emotions represented v well, top tier yearning."
6,"I was dreaming about where I was a little kid driving to where my parents work. Along that dream, we did very random things such as drive a monster truck that was red, looked at animals but wasn't at the zoo, overall felt like I had no control just because that I was a kid and whatever my parents say went. I felt the emotions of confused but joyous throughout. There wasn't really a plot that I remembered."
7,"It was in third person and me and my friends were in a dungeon. It was dark and water dripped from the ceiling. Moss covered the walls and bars we could hear the wails of others around us. I could see the shadow of my best friend in front of my cell. Her face illuminated by candle light set at intervals along the hall connecting each cell. The head of this evil organization appeared and told us that if someone ate poison the rest would live and be set free. So i decided to eat it. However, he lied and no one was allowed freed. This made us so angry I magically recovered and I broke through the bars of my cell in the middle of the night and set everyone free then set the dungeon on fire. We all ran through the forest away from the flaming building our path illuminated by moonlight."
8,"Me and my two roommates were in an apartment building and the guys living a couple doors down some how broke into our apartment. They only left a note. Then they kept doing it, then I woke up."
10,"My dream was about my roommate. She got up and went to sleep in the living room, and took our nightstand with her. The environment was our dorm room, and I felt stressed out because I didn't know why she was mad at me or if she was mad at me. It was first-person point of view, and it stayed the same over the course of the dream."
12,"I had a dream that I was at camp with my friends, and we were participating in the typical camp activities. It was a very happy and nice dream. I felt happy and nostalgic, it was from my pov and it was very close and personal as if I was there."
13,going to a concert and then being left behind it wasnt detailed and blurry
17,"I remember a desolate wasteland, I could feel heat, and smell smoke, I saw shadows darting around but could not make out any physical characteristics just walking shadows darting past me. I felt anger, just intense rage."
23,A dinosaur picked up my families minivan with my entire family inside and started breaking it. It was dark and stormy outside and we were in an abandoned trailer park. It was third person point of view. I was very scared and crying.
26,I had this dream about that I had slept through my class and I failed it and my parents got really mad at me.
